taille n  temps éxecution/s
4             4e-06s
14             6e-06s
24             2.5e-05s
34             6.2e-05s
44             0.000129s
54             0.00023s
64             0.000373s
74             0.000575s
84             0.000938s
94             0.001224s
104             0.001652s
114             0.0022s
124             0.002825s
134             0.003494s
144             0.004294s
154             0.005161s
164             0.006248s
174             0.007524s
184             0.008836s
194             0.010258s
204             0.012044s
214             0.013875s
224             0.015866s
234             0.018078s
244             0.020457s
254             0.023404s
264             0.026007s
274             0.029079s
284             0.032231s
294             0.036052s

